guidename,runtime,obs,df,sig,assymmetry,i,time,loss
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,550,1575813887.7785552,3.1876636884677803
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,560,1575813887.8041883,1.7382402891434163
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,570,1575813887.8384078,1.69997450936164
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,580,1575813887.8540297,3.9888335047931047
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,590,1575813887.885272,1.3783083155204936
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,600,1575813887.9024932,3.0010029694665477
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,610,1575813887.923348,3.166917519688444
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,620,1575813887.9432943,2.2489145972299838
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,630,1575813887.9632404,2.332443776117688
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,640,1575813887.977314,2.059888928570825
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,650,1575813887.9929357,2.2957781738894205
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,660,1575813888.020069,2.5494838396819737
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,670,1575813888.03569,5.429511124828346
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,680,1575813888.0513108,2.6393173423490266
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,690,1575813888.0669322,2.6332975674509527
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,700,1575813888.0825536,3.811058581076906
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,710,1575813888.1046815,5.011923190125195
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,720,1575813888.1316104,2.680498402904494
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,730,1575813888.1472325,3.6163151107084937
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,740,1575813888.1628537,4.099706393199973
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,750,1575813888.178475,1.440086752746463
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,760,1575813888.204603,2.052547435546223
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,770,1575813888.23053,3.0062338642629745
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,780,1575813888.2504764,2.3216978937018595
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,790,1575813888.2625728,2.245037898690753
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,800,1575813888.2938175,1.9777495630261726
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,810,1575813888.321838,1.8652260066999307
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,820,1575813888.3379197,1.2301834249314716
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,830,1575813888.3535414,2.076361726420617
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,840,1575813888.384785,2.4469699197587698
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,850,1575813888.4049127,2.518785799516156
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,860,1575813888.433643,4.046896207358084
